PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
CJi0b,6k1/p1p2ppp/1pqp2r1/3Q4/8/1P6/P1P2PPP/4RK2 b - - 8 22,c6d5 e1e8,400,116,81,1125,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/zhWsNjI8/black#44,
3IQ26,4r1k1/2Q2ppp/2p2n2/3p4/N7/4r3/P5PP/2q2R1K w - - 0 25,f1c1 e3e1 c1e1 e8e1,400,103,68,178,backRankMate endgame mate mateIn2 short,https://lichess.org/IcPcaawQ#49,
xPm0J,r1r3k1/pbp2pp1/1p2p2p/3qN3/1P1P4/P1R1P2P/3Q1PP1/5RK1 w - - 3 25,f1c1 d5g2,400,95,100,222,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/aJUcm396#49,
OKJUS,6k1/p3rppp/1p6/8/2P1p3/3n2P1/PP1R1P1P/4NK2 b - - 1 24,d3e5 d2d8 e7e8 d8e8,400,105,72,488,backRankMate endgame mate mateIn2 short,https://lichess.org/YiiYrsZE/black#48,
CLGmc,4Q1k1/p4pp1/1bpn4/6p1/1P4q1/P2B4/2P1R1PP/7K b - - 4 32,d6e8 e2e8,400,94,100,188,endgame mate mateIn1 oneMove,https://lichess.org/wAQHrkLy/black#64,
bE6fZ,r1kr4/pp4p1/7p/4R3/1Q2p3/8/P1P2PPP/6K1 w - - 1 24,e5e7 d8d1 b4e1 d1e1,400,96,79,88,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/PCZxkRvv#47,
sc5rj,8/3r1pk1/R5pp/8/8/8/P4PPP/6K1 w - - 0 30,a2a4 d7d1,400,113,44,144,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/4561wwr2#59,
eIOW1,r4Q1k/pp4pp/2p1P3/3n2q1/8/1P5P/P2P1RP1/2R3K1 b - - 4 28,a8f8 f2f8,414,105,58,239,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/LlagAZSo/black#56,
nlJfC,4rQ1k/1p4pp/p7/2Pp2p1/P1qP4/2P4P/3B1RK1/8 b - - 0 39,e8f8 f2f8,416,97,100,286,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/MVuEdh3g/black#78,
PVj9k,4rnk1/5ppp/p2q4/1p2P3/2p5/8/PPQ2PPP/4R1K1 w - - 0 24,e5d6 e8e1,416,91,100,272,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/J0OpHIrK#47,
ZZ0gg,6k1/5ppp/4p3/2P5/1Pr4P/5P2/3R2PK/3b4 b - - 2 33,d1a4 d2d8 a4e8 d8e8,424,102,100,179,backRankMate endgame mate mateIn2 short,https://lichess.org/0kva69lw/black#66,
D5cTb,3r2k1/1b3ppp/1p6/8/p1pP1B2/P6P/7K/4R3 b - - 0 35,d8d4 e1e8,425,98,64,132,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/UoXD4hiC/black#70,
K0G5d,1r4k1/pR2Rppp/2p5/8/P7/r5PP/5P2/6K1 b - - 0 26,b8b7 e7e8,428,99,93,1395,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/bPoBOA2y/black#52,
RINBX,r5k1/p1pp1ppp/1p6/1r1b4/8/PP2R2P/K1P3P1/7R b - - 0 21,a8e8 e3e8,430,103,96,551,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/zrU0O8xx/black#42,
OIGPo,4k3/4P2R/4K3/5n1p/6p1/6P1/P6r/8 b - - 0 55,f5g3 h7h8,437,99,95,159,endgame mate mateIn1 oneMove,https://lichess.org/dnIdfvMj/black#110,
iHfRT,2r2rk1/5p1p/5np1/PR1PP3/8/6pP/6P1/2R3K1 w - - 1 37,e5f6 c8c1,444,93,82,209,endgame hangingPiece mate mateIn1 oneMove rookEndgame,https://lichess.org/tTVnjIIl#73,
L0yrB,1Q3r1k/5ppp/8/3q4/2p5/2PbRP2/P2n2PP/4R1K1 b - - 0 27,f8b8 e3e8 b8e8 e1e8,446,89,78,92,backRankMate endgame mate mateIn2 short,https://lichess.org/GJupLTi0/black#54,
OO2cU,3r4/1k1r4/1p4R1/p1p1Q3/8/2P5/PP6/K3R3 w - - 9 47,g6e6 d7d1 e1d1 d8d1,448,98,100,201,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/wyztTWZZ#93,
qEV9b,1k5r/ppp2p2/3b1Q1p/1P6/P3p3/6PP/2P2P1K/3r4 b - - 0 31,h8d8 f6d8,452,102,65,100,endgame hangingPiece mate mateIn1 oneMove queensideAttack,https://lichess.org/qscGnodX/black#62,
VP3b8,6k1/pp4p1/3Rp3/5pNp/7P/4nP2/PPr3P1/1K6 b - - 1 25,c2g2 d6d8,454,102,78,250,endgame mate mateIn1 oneMove,https://lichess.org/wXdS5nca/black#50,
e63Je,r1b2rk1/pp2n2p/2nRpppB/8/2P5/8/P3KPPP/3R4 b - - 6 22,f8f7 d6d8 c6d8 d1d8 f7f8 d8f8,455,88,84,199,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/6vURTi3o/black#44,
Ht33i,3r2k1/1p1R1ppp/p4b2/8/5B2/1P5P/P3RPP1/6K1 b - - 0 27,d8d7 e2e8,460,99,100,188,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/PjUl9qp3/black#54,
3THwu,1k2q3/ppp3Qp/8/2b2N2/6P1/P7/1PP5/2K5 w - - 0 33,g7h7 e8e1,464,87,100,1081,endgame mate mateIn1 oneMove,https://lichess.org/sfKh6WMN#65,
bl3ah,r1bqk1nr/ppp2ppp/2n5/3BP3/1b1P4/2N2Q2/PPP2PPP/R1B1K2R b KQkq - 2 9,c6d4 f3f7,465,93,100,309,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/0RSFjOhV/black#18,Four_Knights_Game Four_Knights_Game_Halloween_Gambit
sgm83,r2qkbnr/pppbp2p/2n3N1/3p3B/8/8/PPPP1PPP/RNBQK2R b KQkq - 0 7,h7g6 h5g6,465,100,98,873,bodenMate mate mateIn1 oneMove opening,https://lichess.org/Iii4dNDq/black#14,Nimzowitsch_Defense Nimzowitsch_Defense_Colorado_Countergambit_Accepted
Cfofr,8/3K1Bk1/4P2p/6b1/8/8/3r4/1R6 w - - 3 64,d7e8 d2d8,466,89,100,196,endgame mate mateIn1 oneMove,https://lichess.org/PrEBZq6o#127,
H6WNq,rk2Rbnr/2q2p2/ppQ3pp/8/8/8/PPP2PPP/R1B3K1 b - - 1 20,b8a7 e8a8,474,99,100,282,mate mateIn1 middlegame oneMove,https://lichess.org/AX62kpOA/black#40,
fhWrm,6k1/3R1pBp/Rn2rPp1/8/2p5/5KP1/7r/8 b - - 0 38,b6d7 a6a8 d7b8 a8b8 e6e8 b8e8,474,88,100,258,endgame long mate mateIn3,https://lichess.org/x2n19mLc/black#76,
8neen,4r1k1/p4ppp/8/1p6/4RP2/1P6/1P3rPP/3R2K1 b - - 0 26,e8e4 d1d8 e4e8 d8e8,479,105,69,205,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/9t71ofeY/black#52,
LtUCp,8/8/6kN/1r6/5R1K/6PP/8/8 w - - 3 61,h6g4 b5h5,482,103,86,379,endgame mate mateIn1 oneMove,https://lichess.org/JcSlb0ej#121,
yNODA,6k1/5pp1/1r5p/R2p4/3RpPn1/2P1P3/6PP/6K1 w - - 1 33,d4d5 b6b1 d5d1 b1d1,488,102,89,843,endgame mate mateIn2 short,https://lichess.org/hlMuBB29#65,
P7H3w,7R/6r1/R5kp/1p4p1/3PP1q1/P2n2P1/1P3P1P/5K2 b - - 3 34,g6h5 a6h6,489,99,93,399,endgame mate mateIn1 oneMove,https://lichess.org/nVNLix9p/black#68,
